Cmpd Label,Smiles,Energy(eV)
2iim,c1(cc2c(cc1)cc(cc2)N(CC)CCF)c1cc(c(C#N)c(=O)o1)C,3.3536
2iio,c1(cc2c(cc1)cc(cc2)N(CC)CCF)c1c(cc(C#N)c(=O)o1)C,3.0868
2iip,c1(cc2c(cc1)cc(cc2)N(CC)CCF)c1oc(c(C#N)c(=O)c1)C,3.5374
2iiq,c1(cc2c(cc1)cc(cc2)N(CC)CCF)c1occ(C#N)c(=O)c1C,3.6953
2iiu,c1(cc2c(cc1)cc(cc2)N(CCF)CC)c1occ(C#N)c(=O)c1,3.9362
2iiil,c1(cc2c(cc1)cc(cc2)N(CCO)CC)c1ccc(C#N)c(=O)o1,2.9278
2iiim,c1(cc2c(cc1)cc(cc2)N(CCO)CC)c1cc(c(C#N)c(=O)o1)C,3.3214
2iiio,c1(cc2c(cc1)cc(cc2)N(CCO)CC)c1c(cc(C#N)c(=O)o1)C,3.0442
2iiip,c1(cc2c(cc1)cc(cc2)N(CCO)CC)c1oc(c(C#N)c(=O)c1)C,3.4918
2iiiq,c1(cc2c(cc1)cc(cc2)N(CCO)CC)c1occ(C#N)c(=O)c1C,4.0903
2ivl,c1(cc2c(cc1)cc(cc2)N(CCF)C)c1ccc(C#N)c(=O)o1,2.9864
2ivm,c1(cc2c(cc1)cc(cc2)N(CCF)C)c1cc(c(C#N)c(=O)o1)C,3.0377
2iu,c1(cc2c(cc1)cc(cc2)N(C)C)c1occ(C#N)c(=O)c1,3.4764
2iiiu,c1(cc2c(cc1)cc(cc2)N(CCO)CC)c1occ(C#N)c(=O)c1,3.8928
2ivu,c1(cc2c(cc1)cc(cc2)N(CCF)C)c1occ(C#N)c(=O)c1,3.5435
5iid,c1(cc2c(cc1)cc(cc2)N(CC)CCF)C#Cc1ccc(cc1)C#N,3.3995
5iie,c1(cc2c(cc1)cc(cc2)N(CC)CCF)C#Cc1ccc(cn1)C#N,3.2888
5iif,c1(cc2c(cc1)cc(cc2)N(CC)CCF)C#Cc1ccc(C#N)nc1,3.3123
5iig,c1(cc2c(cc1)cc(cc2)N(CC)CCF)C#Cc1cnc(C#N)nc1,3.2082
5iiv,c1(cc2c(cc1)cc(cc2)N(CC)CCF)C#Cc1ccc(cc1)N(=O)=O,3.1936
5iiw,c1(cc2c(cc1)cc(cc2)N(CC)CCF)C#Cc1ccc(cn1)N(=O)=O,3.0804
5iix,c1(cc2c(cc1)cc(cc2)N(CC)CCF)C#Cc1ccc(N(=O)=O)nc1,3.166
5iiy,c1(cc2c(cc1)cc(cc2)N(CC)CCF)C#Cc1cnc(N(=O)=O)nc1,3.2181
5iit,c1(cc2c(cc1)cc(cc2)N(CC)CCF)C#Cc1ccccc1,3.6205
5iih,c1(cc2c(cc1)cc(cc2)N(CC)CCF)C#Cc1ccccn1,3.577
5iii,c1(cc2c(cc1)cc(cc2)N(CC)CCF)C#Cc1cccnc1,3.5954
5iij,c1(cc2c(cc1)cc(cc2)N(CC)CCF)C#Cc1cncnc1,3.5589
5iiie,c1(cc2c(cc1)cc(cc2)N(CC)CCO)C#Cc1ccc(cn1)C#N,3.2475
5ive,c1(cc2c(cc1)cc(cc2)N(C)CCF)C#Cc1ccc(cn1)C#N,3.5887
5if,c1(cc2c(cc1)cc(cc2)N(C)C)C#Cc1ccc(C#N)nc1,3.2864
5iiif,c1(cc2c(cc1)cc(cc2)N(CC)CCO)C#Cc1ccc(C#N)nc1,3.272
5ivf,c1(cc2c(cc1)cc(cc2)N(C)CCF)C#Cc1ccc(C#N)nc1,3.6062
5ig,c1(cc2c(cc1)cc(cc2)N(C)C)C#Cc1cnc(C#N)nc1,3.1755
5iiig,c1(cc2c(cc1)cc(cc2)N(CC)CCO)C#Cc1cnc(C#N)nc1,3.1659
5ivg,c1(cc2c(cc1)cc(cc2)N(C)CCF)C#Cc1cnc(C#N)nc1,3.2302
5ih,c1(cc2c(cc1)cc(cc2)N(C)C)C#Cc1ccccn1,3.5654
5iiih,c1(cc2c(cc1)cc(cc2)N(CC)CCO)C#Cc1ccccn1,3.5402
5ivh,c1(cc2c(cc1)cc(cc2)N(C)CCF)C#Cc1ccccn1,3.8646
5ii,c1(cc2c(cc1)cc(cc2)N(C)C)C#Cc1cccnc1,3.5839
5iiii,c1(cc2c(cc1)cc(cc2)N(CC)CCO)C#Cc1cccnc1,3.5598
5ivi,c1(cc2c(cc1)cc(cc2)N(C)CCF)C#Cc1cccnc1,3.8793
5ij,c1(cc2c(cc1)cc(cc2)N(C)C)C#Cc1cncnc1,3.5415
5iiij,c1(cc2c(cc1)cc(cc2)N(CC)CCO)C#Cc1cncnc1,3.5218
5ivj,c1(cc2c(cc1)cc(cc2)N(C)CCF)C#Cc1cncnc1,3.8505
5it,c1(cc2c(cc1)cc(cc2)N(C)C)C#Cc1ccccc1,3.6147
5iiit,c1(cc2c(cc1)cc(cc2)N(CC)CCO)C#Cc1ccccc1,3.5862
5ivt,c1(cc2c(cc1)cc(cc2)N(C)CCF)C#Cc1ccccc1,3.8979
